herd,yrs,totNMF.median,totNMF.lower90,totNMF.upper90,totAdultsMF.median,totAdultsMF.lower90,totAdultsMF.upper90
A La Peche,2021,215.68722292528292,117.16043883272482,395.6089259985323,185.0903822323078,103.27969825345107,332.63638579075723
Banff,2021,5.493005029863897,1.448641777745141,18.789668406172026,4.081320252253617,0.9932554749669266,13.27702235215567
Barkerville,2021,62.77719998569107,36.04395706966415,107.85534868197942,54.725205828244256,31.878140749837094,91.64941070206942
Bearhole Redwillow,2021,33.72190542849873,9.615404575677635,79.6681111758537,29.830282663939613,7.825120785472092,65.20161306413574
Brazeau,2021,10.32820996615325,4.7874554532471265,20.30608805424359,8.825665809360753,4.014217314327714,17.167503948828557
Burnt Pine,2021,3.5880465882295773,1.084771553668101,8.989857331196836,2.983379765789604,0.8504379552945391,7.54402878855985
Central Rockies,2021,4.006055724135519,1.1395486416711031,11.71048836296686,3.5375708349521595,0.9499161611564996,9.99933355095384
Charlotte Alplands,2021,42.82346670928771,18.98916336054808,82.92994961462774,25.68795364291365,11.697882521758064,48.294108362026556
Chase,2021,560.309775632021,408.09423144359056,743.8119769368849,476.27097044882817,346.4075670957007,633.1048769630534
Columbia North,2021,205.01545220575278,152.30048874745532,271.0108775072203,176.80064467969547,131.27725552422905,233.37213145585253
Columbia South,2021,5.925222077885421,2.7958852792828934,11.172850461698902,5.144248345311497,2.354522365158334,9.572292243233763
Duncan,2021,1.4122762873893948,0.429190277762152,3.5283683538374637,1.1225900738314956,0.3247527767198076,2.723212558341822
Frisby-Boulder,2021,8.593973320664627,4.2112690477295995,16.255136863676864,7.42856993939468,3.533475172031798,13.864784062961531
George Mountain,2021,2.1516346265236947,0.5103784391028223,6.786884502988392,1.6534148650660763,0.35720114298835465,5.088709521062773
Graham,2021,158.44164828018532,113.21274999705557,215.12301343537143,131.0782633526086,93.49403285359239,178.42807733373465
Groundhog,2021,35.06555350944315,25.555238070982792,46.098091938355914,28.49815352995829,20.369825845691796,38.3376738219167
Hart North,2021,130.83134695746554,99.472299066494,166.87910274401472,108.41338598917122,82.52167188557259,138.89660988536
Hart South,2021,301.98863280340424,230.22381870108097,383.43998079647713,253.19968363970526,193.21260756322945,323.06676060455794
Itcha-Ilgachuz,2021,574.8029603133575,355.0414414282404,948.9504590029483,480.5959931655755,296.97446918360674,792.2239183608552
Kennedy Siding,2021,151.96402312445525,116.64034738239195,197.03462562926475,125.74732467931659,96.55588964415267,161.0853741720155
Klinse-Za,2021,107.53186020936528,85.60071711019631,132.24731647093003,92.99011386983419,74.02747872562749,114.09525437635628
Maligne,2021,0.6510602001945264,0.18409252287803304,1.9673732578772334,0.45338599749813707,0.10189519670141026,1.3408381913395142
Monashee,2021,3.0994209015770844,0.906114238056506,7.948519982588646,2.5439208392824924,0.7190407501165201,6.291279414339659
Nakusp,2021,30.818489096995933,22.497180183017637,40.32439180938309,27.433463760663642,19.74305090826091,36.46049839873905
Narraway AB,2021,65.52041860076704,34.76698509735754,119.484692492391,57.09994875565752,30.843639019327075,100.79659624572759
Narrow Lake,2021,26.397213237836826,11.55997316363768,52.66096666651604,23.471105920937045,10.055033696572291,45.63670944414177
North Cariboo,2021,191.51787608209784,116.2113996261574,321.8781094523095,169.4122557408253,103.59392501380337,283.1479920527185
Purcells Central,2021,3.398764261876931,0.9530046209659795,9.17076833458534,2.9270881611445176,0.7786457912869049,7.817769867816631
Purcells South,2021,16.610024865970583,6.138205395098627,31.725489005244302,15.613674899025186,5.54742893747055,29.667488465006862
Quintette,2021,109.21102673179476,75.1033811221689,163.4495829975084,90.70359556059321,62.77557122292267,134.72144956530437
Rainbows,2021,46.28539391567571,22.98897366879327,90.3312600012394,31.98974981500816,16.760236968368485,61.05950988482361
Redrock/Prairie Creek,2021,183.12863718910944,99.95602651520962,323.44801425111103,155.51655151450865,85.67146156835322,273.7374268768711
South Selkirks,2021,6.44060090979399,0.747693017474472,26.647762860375643,5.368747945211624,0.5188324537628775,22.665978262576605
Takla,2021,51.40659967406202,27.07367104500419,87.71046339260242,44.477578274250995,23.463611779518537,75.64140473035275
Telkwa,2021,32.91357530715508,23.739731387050625,43.320739525401976,25.949283620194493,18.458818688102777,34.82198419549347
Tonquin,2021,37.232565599221104,19.204918512761722,68.62403260837476,25.361943112834204,13.990435148682804,44.21792756809984
Tweedsmuir,2021,156.44878852735926,96.36399384702055,216.015660085163,125.95391875814585,76.91251981420089,175.35012654141684
Wells Gray North,2021,255.62509899155236,150.31228343064612,422.1378113362586,222.7092581846514,131.38242193190715,365.08059307142895
Wells Gray South,2021,179.39150045547143,90.62834355818653,298.7293661947751,147.40662173225928,75.77751468058835,245.29554862807151
Wolverine,2021,326.5224101225077,180.4152472741994,534.2231934482942,281.9318503296199,158.01872094939415,457.2452329249827
