herd,year,adF,adM,calf,total,type,season,ad.total,ad.id,sratio,sratio.sd
Brazeau,1993,13,8,9,31,OTC,fall,22,0.9545454545454546,0.6190476190476191,0.10597116957413082
Charlotte Alplands,1999,17,17,3,39,OTC,fall,36,0.9444444444444444,0.5,0.08574929257125442
Chase,2009,188,83,56,371,OTC,winter,315,0.8603174603174604,0.6937269372693727,0.02800038704109334
Chase,2008,128,43,47,235,OTC,winter,188,0.9095744680851063,0.7485380116959064,0.03317760612522046
Chase,2007,174,113,55,385,OTC,winter,330,0.8696969696969697,0.6062717770034843,0.02883971742387442
Graham,2021,42,38,17,109,OTC,winter,92,0.8695652173913043,0.525,0.05583177858531824
Graham,2016,48,16,12,76,OTC,winter,64,1,0.75,0.05412658773652741
Graham,2015,115,49,25,189,OTC,winter,164,1,0.7012195121951219,0.03574219238569907
Graham,2009,88,31,15,134,OTC,winter,119,1,0.7394957983193278,0.04023479018300563
Graham,2002,72,30,11,113,OTC,winter,102,1,0.7058823529411765,0.045115587579257085
Graham,1988,79,74,35,209,OTC,winter,174,0.8793103448275862,0.5163398692810458,0.04040101343709465
Kennedy Siding,2021,36,43,20,99,OTC,winter,79,1,0.45569620253164556,0.05603312464373454
Kennedy Siding,2019,36,23,18,77,OTC,winter,59,1,0.6101694915254238,0.06349465253568698
Kennedy Siding,2018,32,24,9,65,OTC,winter,56,1,0.5714285714285714,0.06613000712661082
Kennedy Siding,2017,27,18,18,63,OTC,winter,45,1,0.6,0.07302967433402215
Kennedy Siding,2016,26,19,5,50,OTC,winter,45,1,0.5777777777777777,0.07362828823578772
Kennedy Siding,2015,26,16,7,49,OTC,winter,42,1,0.6190476190476191,0.07493293261613744
Klinse-Za,2021,32,44,14,101,OTC,winter,87,0.8735632183908046,0.42105263157894735,0.0566344828262074
Klinse-Za,2020,21,30,10,61,OTC,winter,51,1,0.4117647058823529,0.06891519836811837
Klinse-Za,1996,105,59,17,220,OTC,winter,203,0.8078817733990148,0.6402439024390244,0.037476142640992395
Maligne,2000,22.5,12,6,41,OTC,fall,35,0.9857142857142858,0.6521739130434783,0.0810873746295925
Maligne,1998,26,19,15,68,OTC,fall,53,0.8490566037735849,0.5777777777777777,0.07362828823578772
Maligne,1996,20,12,3,40,OTC,fall,37,0.8648648648648649,0.625,0.0855816496101822
Maligne,1993,15,11,10,41,OTC,fall,31,0.8387096774193549,0.5769230769230769,0.09689066801072671
Nakusp,2017,9,18,2,29,OTC,winter,27,1,0.3333333333333333,0.09072184232530289
Nakusp,1996,135,20,17,172,OTC,winter,155,1,0.8709677419354839,0.0269267745925259
Purcells South,1997,7,16,3,28,OTC,winter,25,0.92,0.30434782608695654,0.09594387554215139
Purcells South,1995,31,23,1,63,OTC,winter,62,0.8709677419354839,0.5740740740740741,0.06729055730768654
Rainbows,2016,20,10,2,32,OTC,fall,30,1,0.6666666666666666,0.08606629658238704
Rainbows,2008,24,14,6,44,OTC,fall,38,1,0.631578947368421,0.07825178333421348
Rainbows,2000,70,23,22,108,OTC,fall,86,1.0813953488372092,0.7526881720430108,0.04473923102352044
Rainbows,1999,70,30,20,120,OTC,fall,100,1,0.7,0.045825756949558406
Rainbows,1998,74,20,13,107,OTC,fall,94,1,0.7872340425531915,0.04221230595990551
Rainbows,1997,81,22,3,106,OTC,fall,103,1,0.7864077669902912,0.04038294735364582
Rainbows,1996,95,23,9,127,OTC,fall,118,1,0.8050847457627118,0.036467224418705764
Rainbows,1995,119,43,16,178,OTC,fall,162,1,0.7345679012345679,0.034692467225076754
Rainbows,1987,76,16,11,103,OTC,fall,92,1,0.8260869565217391,0.0395170982237559
Rainbows,1986,66,29,22,117,OTC,fall,95,1,0.6947368421052632,0.047248231637961
Takla,2012,36,18,12,70,OTC,winter,58,0.9310344827586207,0.6666666666666666,0.06415002990995843
Takla,2004,64,31,12,122,OTC,winter,110,0.8636363636363636,0.6736842105263158,0.04810446910126143
Takla,1993,48,20,14,82,OTC,winter,68,1,0.7058823529411765,0.05525508450751319
Telkwa,2021,15,7,7,30,OTC,winter,23,0.9565217391304348,0.6818181818181818,0.09930260198923899
Wolverine,2010,89,41,22,154,OTC,winter,132,0.9848484848484849,0.6846153846153846,0.040754155971490395
Wolverine,2008,173,88,49,320,OTC,winter,271,0.9630996309963099,0.6628352490421456,0.029261974440535507
Wolverine,2007,159,101,54,348,OTC,winter,294,0.8843537414965986,0.6115384615384616,0.030227291005469843
Quintette Full,2021,40,12,10,64,OTC,winter,54,0.9629629629629629,0.7692307692307693,0.05842727117790384
Klinse-Za,2022,37,41,19,111,OTC,winter,92,0.8478260869565217,0.47435897435897434,0.05653935976482544
Quintette,2022,31,21,13,69,OTC,winter,56,0.9285714285714286,0.5961538461538461,0.06804331734974511
Quintette Full,2022,48,27,23,104,OTC,winter,81,0.9259259259259259,0.64,0.055425625842204077
Klinse-Za,2023,39,51,28,127,OTC,winter,99,0.9090909090909091,0.43333333333333335,0.05223404121574737
Quintette,2023,29,10,13,60,OTC,winter,47,0.8297872340425532,0.7435897435897436,0.06992010767203376
Quintette Full,2023,49,17,21,99,OTC,winter,78,0.8461538461538461,0.7424242424242424,0.05382779594633131
Klinse-Za,2014,NA,NA,NA,NA,OTC,winter,NA,NA,0.68,0.05
Klinse-Za,2015,NA,NA,NA,NA,OTC,winter,NA,NA,0.71,0.05
Klinse-Za,2016,NA,NA,NA,NA,OTC,winter,NA,NA,0.64,0.05
Klinse-Za,2017,NA,NA,NA,NA,OTC,winter,NA,NA,0.65,0.05
Klinse-Za,2018,NA,NA,NA,NA,OTC,winter,NA,NA,0.51,0.05
Klinse-Za,2019,NA,NA,NA,NA,OTC,winter,NA,NA,0.55,0.05
