herd,count,recruitment,survival,treatment
Tonquin,1,1,1,1
A La Peche,1,1,1,1
Redrock/Prairie Creek,1,1,1,1
Charlotte Alplands,1,1,NA,1
Itcha-Ilgachuz,1,1,1,1
Rainbows,1,1,1,1
Telkwa,1,1,1,1
Tweedsmuir,1,1,1,1
Narraway AB,1,1,1,1
Narraway BC,1,1,1,1
Burnt Pine,1,1,1,1
Kennedy Siding,1,1,1,1
Klinse-Za,1,1,1,1
Quintette,1,1,1,1
Chase,1,1,1,1
Graham,1,1,1,1
Takla,1,1,1,1
Wolverine,1,1,1,1
Wells Gray South,1,1,1,1
Hart North,1,1,1,1
Hart South,1,1,1,1
Wells Gray North,1,1,1,1
Barkerville,1,1,1,1
George Mountain,1,NA,NA,1
Narrow Lake,1,1,NA,1
North Cariboo,1,1,1,1
Banff,1,NA,NA,1
Brazeau,1,1,1,1
Maligne,1,1,1,1
Purcells Central,1,1,1,1
Purcells South,1,1,1,1
South Selkirks,1,1,NA,1
Central Rockies,1,1,1,1
Columbia North,1,1,1,1
Columbia South,1,1,1,1
Duncan,1,1,1,1
Frisby-Boulder,1,1,1,1
Groundhog,1,1,1,1
Nakusp,1,1,1,1
Monashee,1,1,NA,1
Quintette Full,1,1,1,1
