year,inds,bou_yrs
1991,3,0.2219178082191781
1992,11,3.23013698630137
1993,10,9.838356164383562
1994,13,8.153424657534247
1995,13,9.189041095890412
1996,17,7.863013698630137
1997,23,13.356164383561644
1998,20,16.002739726027396
1999,18,10.805479452054794
2000,10,7.632876712328767
2001,10,6.123287671232877
2002,10,8.493150684931507
2003,13,9.8
2004,12,9.76986301369863
2005,10,9.523287671232877
2006,9,6.476712328767123
2007,6,4.361643835616438
2008,3,3
2009,3,2.0383561643835617
2010,2,1.0273972602739727
2011,1,0.8684931506849315
2014,10,6.295890410958904
2015,22,11.835616438356164
2016,22,10.457534246575342
2017,21,15.824657534246576
2018,39,18.216438356164385
2019,17,15.336986301369864
2020,16,9.931506849315069
